year,day_length_seconds,precipitation_mm,solar_radiation_langley,snow_water_equivalent_mm,vapor_pressure_pa,date,mean_temp_celsius,temp_range,sin_day,cos_day,month,weekday
2010,-1.3824228187566185,0.1801845495702597,-1.4783428795596723,-0.12155942064351276,-1.0396036272822602,2010-01-01,-1.3474602561654556,-0.903956900888712,0.017213356155834685,0.9998518392091162,-1.5806808029037076,0.5040363303553252
2010,-1.3824228187566185,-0.41545736907282815,-1.6109892822033116,-0.12155942064351276,-1.2568227835446788,2010-01-02,-1.8578731819401604,-1.2149636172037543,0.03442161162274574,0.9994074007397048,-1.5806808029037076,1.006137780363797
2010,-1.3824228187566185,-0.41545736907282815,-1.5778276815424017,-0.12155942064351276,-1.3654323616758883,2010-01-03,-2.1981484657899633,-1.2149636172037543,0.051619667223253764,0.998666816288476,-1.5806808029037076,1.5082392303722687
2010,-1.3824228187566185,-0.41545736907282815,-1.2462116749333039,-0.12155942064351276,-1.3654323616758883,2010-01-04,-2.1414359184816627,-0.5929501845736697,0.06880242680231986,0.9976303053065857,-1.5806808029037076,-1.5043694696785619
2010,-1.3824228187566185,-0.41545736907282815,-1.5778276815424017,-0.12155942064351276,-1.3111275726102836,2010-01-05,-2.028010823865062,-1.2149636172037543,0.08596479873744647,0.9962981749346078,-1.5806808029037076,-1.0022680196700902
2010,-1.3258601852886598,-0.41545736907282815,-1.412019678237853,-0.12155942064351276,-1.2568227835446788,2010-01-06,-1.8578731819401604,-0.903956900888712,0.10310169744743485,0.9946708199115211,-1.5806808029037076,-0.5001665696616183
2010,-1.3258601852886598,-0.41545736907282815,-0.7819492656805666,-0.12155942064351276,-1.3111275726102836,2010-01-07,-1.7728043609777093,0.4955733225289786,0.1202080448993527,0.9927487224577402,-1.5806808029037076,0.0019348803468534734
2010,-1.3258601852886598,0.1801845495702597,-0.5498180610541982,-0.12155942064351276,-1.3654323616758883,2010-01-08,-1.8862294555943107,0.18456660621393625,0.13727877211326478,0.9905324521322229,-1.5806808029037076,0.5040363303553252
2010,-1.3258601852886598,-0.41545736907282815,-0.6161412623760175,-0.12155942064351276,-1.4197371507414929,2010-01-09,-2.1414359184816627,0.029063248056415074,0.15430882066428117,0.9880226656636976,-1.5806808029037076,1.006137780363797
2010,-1.3258601852886598,-0.41545736907282815,-0.8151108663414762,-0.12155942064351276,-1.3654323616758883,2010-01-10,-1.9996545502109115,-0.43744682641614846,0.1712931441814776,0.9852201067560606,-1.5806808029037076,1.5082392303722687
2010,-1.3258601852886598,-0.41545736907282815,-0.25136365510600983,-0.12155942064351276,-1.4197371507414929,2010-01-11,-1.9712982765567615,0.9620833970015421,0.1882267098432442,0.9821256058680006,-1.5806808029037076,-1.5043694696785619
2010,-1.2694610276399725,-0.41545736907282815,-0.8814340676632961,-0.12155942064351276,-1.2568227835446788,2010-01-12,-1.8011606346318596,-0.5929501845736697,0.2051044998686192,0.9787400799669153,-1.5806808029037076,-1.0022680196700902
2010,-1.2694610276399725,-0.41545736907282815,-0.3508484570887389,-0.12155942064351276,-1.3111275726102836,2010-01-13,-1.7728043609777093,0.4955733225289786,0.2219215130041655,0.9750645322571948,-1.5806808029037076,-0.5001665696616183
2010,-1.2694610276399725,-0.41545736907282815,-0.08555565180146084,-0.12155942064351276,-1.2568227835446788,2010-01-14,-1.3474602561654556,1.584096829631627,0.2386727660059501,0.9711000518829505,-1.5806808029037076,0.0019348803468534734
2010,-1.2694610276399725,-0.41545736907282815,0.08025235150308815,-0.12155942064351276,-1.2025179944790743,2010-01-15,-1.0638975196239533,2.517116978576754,0.255353295116187,0.9668478136052775,-1.5806808029037076,0.5040363303553252
2010,-1.2694610276399725,-0.41545736907282815,-0.45033325907146854,-0.12155942064351276,-1.0396036272822602,2010-01-16,-0.9221161513532019,1.4285934714741058,0.2719581575341055,0.9623090774541486,-1.5806808029037076,1.006137780363797
2010,-1.2128983941720135,-0.41545736907282815,-0.7487876650196569,-0.12155942064351276,-0.8223844710198414,2010-01-18,-0.7236222357741502,0.3400699643714574,0.30492122465628907,0.9523775757303974,-1.5806808029037076,-1.5043694696785619
2010,-1.2128983941720135,-0.41545736907282815,-0.45033325907146854,-0.12155942064351276,-0.9309940491510508,2010-01-19,-0.6669096884658497,1.2730901133165844,0.3212696616923644,0.9469877530760753,-1.5806808029037076,-1.0022680196700902
2010,-1.2128983941720135,-0.41545736907282815,-0.4834948597323782,-0.12155942064351276,-0.8223844710198414,2010-01-20,-0.5818408675033989,1.1175867551590632,0.3375228995941133,0.9413173175128471,-1.5806808029037076,-0.5001665696616183
2010,-1.2128983941720135,1.9671103054995234,-1.9094436881514998,-0.12155942064351276,-0.9309940491510508,2010-01-21,-1.148966340586404,-1.0594602590462332,0.3536761221763716,0.9353679493131483,-1.5806808029037076,0.0019348803468534734
2010,-1.1564992365233262,-0.41545736907282815,-1.3125348762551232,-0.12155942064351276,-0.9852988382166554,2010-01-23,-1.2056788878947045,-1.0594602590462332,0.38566340624360707,0.9226395488404876,-1.5806808029037076,1.006137780363797
2010,-1.0999366030553674,-0.41545736907282815,-0.5166564603932878,-0.12155942064351276,-1.0939084163478647,2010-01-26,-1.2340351615488547,0.3400699643714574,0.4327755925504312,0.901501684131884,-1.5806808029037076,-1.0022680196700902
2010,-1.0999366030553674,-0.41545736907282815,-0.6161412623760175,-0.12155942064351276,-1.2025179944790743,2010-01-27,-1.4608853507820567,0.029063248056415074,0.4482293417404106,0.893918596519257,-1.5806808029037076,-0.5001665696616183
